"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000181104",14922.5173336984,1.66815955567972,0.0447581305579474,37.2705368808912,4.9268286285109e-304,2.90446401307975e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073535915,0.048862514827773,36.9471514456931,8.09245147245229e-299,4.58717499234622e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005946,0.0550460861441782,36.8352635416915,5.0352837673165e-297,2.74851896898928e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702361364,0.0693613899879189,36.6909749654226,1.01727936842515e-294,5.35452261851782e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.1480867076023,0.058906348752845,-36.4661323113929,3.81878873955769e-291,1.94073477391728e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656939632,0.121636384894615,36.4540311950082,5.93859387566061e-291,2.91743321798287e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084197777,0.0608219613792013,-36.2808234384294,3.24655084346499e-288,1.54347310745119e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600345088,0.0694013576274364,36.2707026131106,4.68802970766448e-288,2.15913068223622e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338580365,0.0499749036408171,-36.2228489486298,2.65989476379697e-287,1.18792512208605e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031312,0.0535351853326611,36.1446988235715,4.50696711044296e-286,1.95363768452084e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200633724,0.078171512324911,-36.139917500828,5.35785964867052e-286,2.21232325950445e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304145182,0.0909710043806466,36.13968059202,5.4039650795332e-286,2.21232325950445e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587691393,0.0487932049211133,-35.7887103283578,1.6548816369847e-280,6.59179609888663e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202051862,0.0656155298229242,35.3236806404459,2.54308682024877e-273,9.86316146232272e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515285900217,0.065396001194416,-35.2491408786475,3.53652012770774e-272,1.33644188826043e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584700178,0.0743747830376345,-35.1930552278358,2.55370736964934e-271,9.40913480347301e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506770166,0.0806594359668442,35.1779681284656,4.34411294363484e-271,1.56154967227537e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473639558,0.126316443228132,35.1424931145223,1.51369470683758e-270,5.31162680699339e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014083287,0.0861136730177447,-34.9774900463508,4.94851816630376e-268,1.69607583104616e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849878477,0.0690680729504838,-34.9512936391815,1.2376229126497e-267,4.1454742015071e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042983588,0.0676832768860428,34.8366766255389,6.77562193839352e-266,2.21909146951208e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927588268,0.0497514637493822,34.8299154495569,8.57661221202235e-266,2.74787197349533e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019564244,0.0588365440046993,34.2452166374951,5.13843459776959e-257,1.61128189578571e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098961119,0.0928701293936,-34.2039039931616,2.11546686454723e-256,6.4953647186869e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757631671,0.0569242462791645,-33.8997475144969,6.71897391142296e-252,2.02090280625615e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.409890198399,0.0418063492390768,33.7243080072909,2.54549544684648e-249,7.50310237912468e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888550453,0.061132128319763,33.6829248727278,1.02811518584878e-248,2.97105129589006e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961550154,0.0460243826097474,33.6071779303771,1.31771513771596e-247,3.73470878839572e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.8936178433079,0.0564684076645686,-33.534110870565,1.53479242153538e-246,4.26788126577141e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.7035465919101,0.0509601094526053,-33.4290214485205,5.19398714285411e-245,1.41757375021081e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401591141698,0.0439329007812787,-33.3239072627057,1.73987809793096e-243,4.66224061951027e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619986256,0.0760092147954001,-33.2839407257719,6.59330975398134e-243,1.73521784203887e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662198907,0.054703565152698,33.0977810483668,3.19855382766272e-240,8.27022566878828e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483186101,0.0522701784865186,32.985439915911,1.31370885661159e-238,3.33817950495546e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249162295,0.0567964586464759,-32.9413582503183,5.6252798706616e-238,1.40517584294594e-235,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"ENSG00000152894",4900.8667898464,1.6861475469469,0.0515037601006714,32.7383387863544,4.4496016718436e-235,1.09297049066052e-232,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946154364,0.0629925121360353,32.6580000032543,6.16947061005295e-234,1.49058455493378e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085502,0.0389873671071016,32.6047847079028,3.5083466082591e-233,8.33967940524559e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697211,0.101231296318792,32.5733884369905,9.76966579470629e-233,2.28548149972034e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862866063,0.0428974827888409,32.3715644457782,6.89954383460065e-230,1.58883557866163e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466618,0.0417126487365054,-32.0544150315733,1.90539100881601e-225,4.3202542596816e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199111185,0.0759164047808319,31.779191837085,1.25507812037565e-221,2.80262747546913e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.4246113095082,0.0449230274780364,-31.712272958556,1.052433748392e-220,2.31504008713451e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935254453,0.0437425186059048,31.6113337003388,2.57956532360013e-219,5.59082849106157e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310499178,0.0943819978865064,31.5755458850893,7.99976042655171e-219,1.70870245168868e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.3264077758833,0.137032426835233,31.5721459205079,8.90728089425059e-219,1.8753643688495e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391533585,0.0474102574949968,31.4114285393411,1.41267426979176e-216,2.93239343495648e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909686207,0.0850915122990426,-31.3751515836216,4.41713271075312e-216,9.04162526264993e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914826,0.0363987416493513,31.3716611455609,4.92886500300759e-216,9.95090581018162e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139991966,0.043278627278929,-30.7505455601086,1.20241770795185e-207,2.39476110537761e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854239112,0.0685910543640556,30.6875081875715,8.35473767982279e-207,1.64176165233638e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585504133,0.0934444345094768,30.6666295331983,1.58632297824135e-206,3.07621421754225e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660582484,0.062571295285534,-30.5292801932211,1.06538557355316e-204,2.03917566013331e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43610918567846,0.112997108558186,-30.4088239913599,4.19915325783378e-203,7.93424624537875e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564267365e-202,7.33899351161067e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020966,0.0574719547345416,30.2794513993406,2.13756379566394e-201,3.93792690256189e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589107,0.0645262748633742,-30.1352331280291,1.67482912256028e-199,3.0473619269498e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883732762,0.052662575239725,-30.0569964556843,1.76886796816879e-198,3.17921659937459e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258388406,0.109401846876388,-30.0096632517877,7.34108057557423e-198,1.303528259311e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282822686,0.0507616649259632,-29.9452910073755,5.06706139255e-197,8.89027985754785e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365679984128,0.112773759767572,-29.8265909265935,1.7665303956773e-195,3.06295587899907e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403926743,0.0515649238098702,29.8149192450305,2.50294057573546e-195,4.28934165176619e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585248,0.0564166016765728,29.702159046356,7.2011492422873e-194,1.21909612714822e-191,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.72304030582997,0.058011315859839,29.7017966286612,7.2791735099093e-194,1.21909612714822e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053254019,0.0575941302219393,-29.6620597612468,2.37081745560382e-193,3.92596715288641e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322492,0.0469878378475507,29.6103804082026,1.09852705728157e-192,1.79889908557953e-190,"INHBA","3624","inhibin beta A subunit"
"ENSG00000133818",917.65645300902,-2.58022994827179,0.0872303205752929,-29.5795078047967,2.74199023247566e-192,4.44081890617871e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95677043084517,0.0663760817828509,29.4800533307575,5.18789476245195e-191,8.31078184880618e-189,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183328666,0.0557716988894335,-29.4545776083197,1.09999606239151e-190,1.74319806102431e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.355927761022,0.0460501465042461,-29.4445916886925,1.47657629430741e-190,2.31508313037262e-188,"NOTCH2","4853","notch 2"
"ENSG00000066279",593.333577786577,-3.10048884487824,0.105364404313388,-29.4263405661782,2.52837045762017e-190,3.92243408467432e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.465812777274,2.42014865384512,0.0824494804170422,29.3531098268131,2.1808336182485e-189,3.34803394434859e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412408018,0.0593370026669354,29.3441536616481,2.83732824570018e-189,4.31098388506487e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040796665,0.0659490996139967,29.1497597271009,8.41280425819588e-187,1.26518274650297e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194735371,0.0635784344173034,29.0450994001061,1.77450164121353e-185,2.64167729173788e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330927774,0.0520551639712038,-28.9624159115463,1.95797433996794e-184,2.88566258224475e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993455,0.0673374981672211,-28.9326534688949,4.63893814404324e-184,6.76917528385241e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136365439,0.0486375334145665,-28.8487360511206,5.2552660773755e-183,7.59334425964315e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787421725,0.040996404982516,-28.8071082018269,1.7474026723788e-182,2.5003126782057e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936533433,0.0644924719269853,28.7838147595889,3.42014485365999e-182,4.8467398897347e-180,"MCC","4163","mutated in colorectal cancers"
"ENSG00000145147",601.510428483162,-2.68630819024851,0.0934361684563648,-28.7501963600213,9.0065260332646e-182,1.2641731493167e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375816424571,0.0561603405358485,-28.734835808476,1.40129718646722e-181,1.94833188058056e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609589667,0.0513457665141107,-28.7302380711614,1.59945454185695e-181,2.20306177924185e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272035414,0.0824391285276736,28.7214671314643,2.05838146568824e-181,2.80892833715863e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422852057,0.135042980927157,28.6078861855429,5.36045464686845e-180,7.24792482436212e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578049955,0.0428453775041706,-28.5957517909671,7.58777024191281e-180,1.01662325295737e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280647595275,0.0890287129053259,-28.4493214975057,4.96817371034813e-178,6.5964814543343e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347826725,0.0451331152064846,28.444601539111,5.68303998670151e-178,7.47827172535775e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086818283,0.0530931794437942,28.3665601487888,5.23021746451229e-177,6.82149955681258e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.0508915834993,0.0724505362923399,28.3074727732021,2.79632961103375e-176,3.61511454451012e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.5725779271562,0.0556189560124788,28.2741360122504,7.18939426533445e-176,9.21367762456514e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530641842,0.03652282359694,-28.2049744506811,5.08124629805806e-175,6.45581102937756e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.2334037348713,0.114651722391969,-28.2019638904073,5.53212100517091e-175,6.96858114309478e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990575564,0.0659124220582546,-28.1195842586022,5.64504628590474e-174,7.05056713234441e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031438864,0.0552347205996713,28.0352701629824,6.04064945781923e-173,7.48126821086889e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804944213,0.0590533750862105,-27.9348648071994,1.00679369524979e-171,1.23651045671595e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841455275,0.0952230072975272,27.8855760799071,3.99159713611335e-171,4.86183128859823e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530128696,0.0844340386495851,27.8775638229941,4.99217841206435e-171,6.03071519975446e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159440598,0.0461355805168604,-27.8678967513179,6.53822677490839e-171,7.83417774053658e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145492306,0.101922369388848,27.8074525927687,3.52496836746639e-170,4.18959546771933e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110241750534,0.068234723971056,-27.71466355323,4.648488377817e-169,5.48075373698135e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737934872,0.0770835750210894,27.6591657660585,2.1652130709288e-168,2.53261192375783e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331495983,0.0824087401530583,27.642011159605,3.48153235999667e-168,4.04022235603393e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461017558,0.102927885129295,27.5035730756492,1.59111426217399e-166,1.83201890593127e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242124774,0.0575011789933417,-27.4669571806628,4.35864331858201e-166,4.97966552164819e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970816939,0.0634971552129316,-27.4390199423384,9.39461341621781e-166,1.06506009637091e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170318486,0.124605048794291,27.390717601013,3.53782094673499e-165,3.98018359641071e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082377186,0.102045844333667,-27.3631997658,7.5222711346567e-165,8.39872969564928e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868088623,0.0744625131650809,-27.3628782360479,7.58883323362619e-165,8.40934016520172e-163,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000166851",502.683929770066,-3.32923741737013,0.121688980179518,-27.358577682702,8.53777886787397e-165,9.39028245930795e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742288839,0.0550770515481337,-27.3447357938575,1.2473472732318e-164,1.36173363799187e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.03263249191202,0.0744909394413721,27.2869762034858,6.0549774115767e-164,6.56163655086892e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117031,27.2855920323943,6.28835886240983e-164,6.76480532220409e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.13136943574249,0.0788327312645669,27.0366052469944,5.48952591828355e-161,5.86265456403354e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.09766103187188,0.114589407757225,-27.0326995531274,6.10174655958325e-161,6.46960725144878e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009582521,0.111928826070383,-27.0094863134204,1.14350008310555e-160,1.20377887320068e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146022083,0.0649482708063534,-26.8589361743281,6.63283439611653e-159,6.93295839219613e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.4365475118008,0.0535105892817748,-26.8460417102914,9.38168655341721e-159,9.73713355100443e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343911852,0.0754066743905775,-26.8434254060069,1.00652684805478e-158,1.03735613193226e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201673,0.0641522054051014,26.816671401291,2.06537394319387e-158,2.11385285936051e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667233,0.0510598847630686,-26.8038485206735,2.91413495718898e-158,2.96196696545181e-156,"TMSB4X","7114","thymosin beta 4, X-linked"
"ENSG00000147883",1092.60954361111,2.17982979415754,0.0813913275771783,26.7820891862286,5.22460957034121e-158,5.27399286628005e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763030849,0.0775868067488303,-26.6672610590418,1.12889473738145e-156,1.13181296867536e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.5457970254851,0.0580504859851617,-26.6284941331968,3.17639230170711e-156,3.16308579341617e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049306992143,0.102236933694586,-26.6096895868219,5.24361137470687e-156,5.18660029801543e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150543,26.5933696049238,8.099146713847e-156,7.95768161791181e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209042183,0.0383140642283191,-26.5299991241996,4.37007161587324e-155,4.2653056605788e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936183262,0.0415181810881636,26.4886209609542,1.31082583052509e-154,1.27098362436045e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984526989,0.113333403585894,-26.4103057930437,1.04333148999416e-153,1.00500781042706e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157108221,0.0509516587753822,-26.3952460706147,1.55364873205392e-153,1.48686201383186e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.8082146197817,0.106412974069329,26.3897766634368,1.79528578123235e-153,1.70702721572918e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.32446365485834,0.0502228276739079,26.3717460008019,2.89072794369468e-153,2.73099669449821e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059230639,0.0652353711383543,26.3653070764117,3.42649130706096e-153,3.21653687155825e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326166553,0.063894746016287,26.2751378843824,3.69005341205332e-152,3.4420257713191e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193006868,0.0382024985108696,-26.262730689806,5.11427509027443e-152,4.74051486040657e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136342452,0.134086229942492,26.1601162545098,7.56115954284897e-151,6.96477308390676e-149,"RIPOR3","140876","RIPOR family member 3"
